Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2019,FYTD,FEB,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1
2022 (FYTD),FYTD,OCT,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1631
2022 (FYTD),FYTD,DEC,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,179
2021,FYTD,OCT,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,4
2022 (FYTD),FYTD,DEC,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,28
2022 (FYTD),FYTD,JAN,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,828
2019,FYTD,NOV,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,2730
2021,FYTD,NOV,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,4
2021,Remaining,MAY,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,3801
2022 (FYTD),Remaining,MAR,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,2060
2020,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1065
2021,Remaining,SEP,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,13
2019,Remaining,AUG,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,2392
2022 (FYTD),Remaining,APR,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,165
2021,Remaining,MAR,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,302
2021,FYTD,FEB,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,1023
2019,Remaining,MAY,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,153
2020,Remaining,AUG,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,1547
2020,FYTD,JAN,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,31
2021,Remaining,AUG,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,57
2021,Remaining,MAR,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,13
2020,Remaining,MAY,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,205
2021,Remaining,AUG,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,304
2021,Remaining,AUG,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,2
2022 (FYTD),Remaining,MAR,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,1
2022 (FYTD),Remaining,MAY,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,4
2022 (FYTD),FYTD,DEC,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,4389
2021,Remaining,JUN,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,11558
2022 (FYTD),Remaining,JUN,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,898
2020,Remaining,SEP,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,76
2019,FYTD,FEB,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,2
2019,FYTD,JAN,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,1052
2021,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,1042
2021,FYTD,DEC,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,347
2020,Remaining,MAY,U.S. Border Patrol,UC / Single Minors,Other,Title 42,Expulsions,10
2022 (FYTD),FYTD,DEC,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,1854
2021,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,192
2022 (FYTD),FYTD,NOV,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,9
2020,Remaining,MAR,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,411
2019,Remaining,MAY,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,11
2021,Remaining,SEP,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,2139
2021,FYTD,DEC,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,91
2022 (FYTD),FYTD,OCT,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1979
2019,Remaining,SEP,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,734
2021,FYTD,NOV,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1181
2020,Remaining,JUN,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,
2022 (FYTD),Remaining,JUN,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,758
2022 (FYTD),FYTD,NOV,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,1216
2020,Remaining,APR,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,84
2019,Remaining,AUG,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,2
2020,Remaining,JUN,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,5
2019,FYTD,OCT,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,99
2019,Remaining,SEP,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,2
2021,Remaining,JUN,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,192
2022 (FYTD),Remaining,MAY,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,5163
2022 (FYTD),Remaining,MAR,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,73
2019,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,2492
2019,FYTD,NOV,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,137
2021,Remaining,SEP,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,23
2021,FYTD,OCT,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,4
2021,Remaining,MAR,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,14709
2022 (FYTD),Remaining,MAR,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,527
2021,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 42,Expulsions,64
2019,Remaining,APR,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,52
2021,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Expulsions,2326
2022 (FYTD),Remaining,APR,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,31
2021,FYTD,JAN,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,6
2021,FYTD,FEB,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1457
2020,FYTD,FEB,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,763
2021,Remaining,APR,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,3
2020,Remaining,JUL,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,26029
2021,Remaining,MAR,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,13491
2019,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,592
2020,Remaining,AUG,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,64
2019,Remaining,MAR,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,2437
2020,Remaining,JUN,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,736
2021,FYTD,JAN,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,1139
2022 (FYTD),Remaining,MAR,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,2289
2022 (FYTD),FYTD,JAN,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,865
2021,Remaining,MAR,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,7
2022 (FYTD),Remaining,MAY,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,24
2021,FYTD,JAN,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,4432
2019,Remaining,JUN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2764
2021,Remaining,JUL,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,12363
2022 (FYTD),Remaining,MAR,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,19
2022 (FYTD),FYTD,OCT,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,22640
2021,Remaining,MAR,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,10211
2021,FYTD,DEC,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,32367
2021,Remaining,APR,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,12462
2019,FYTD,DEC,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,81
2019,Remaining,JUN,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1545
2021,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,287
2020,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1081
2020,Remaining,MAY,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,16
2020,FYTD,OCT,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,39
2021,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,3880
2022 (FYTD),FYTD,FEB,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,8
2020,Remaining,MAR,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,667
2022 (FYTD),FYTD,NOV,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,2002
2020,Remaining,JUN,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,403
2019,FYTD,JAN,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,10113
2021,FYTD,OCT,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1150
2021,Remaining,AUG,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,5310
2022 (FYTD),FYTD,FEB,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,3
2020,Remaining,SEP,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,11
2019,Remaining,JUL,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,0
2021,Remaining,AUG,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,8102
2020,Remaining,JUL,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,52
2020,Remaining,MAR,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,6
2020,Remaining,AUG,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,29607
2020,Remaining,MAY,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,
2020,FYTD,NOV,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,851
2019,Remaining,APR,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,2289
2021,FYTD,NOV,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,6
2021,FYTD,FEB,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,3
2021,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Expulsions,1100
2020,Remaining,MAY,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,16
2021,Remaining,JUN,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2346
2022 (FYTD),FYTD,FEB,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1995
2021,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 42,Expulsions,116
2021,Remaining,MAY,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,586
2021,Remaining,SEP,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,7
2021,Remaining,MAR,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,12
2022 (FYTD),Remaining,APR,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,149
2021,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,1141
2022 (FYTD),Remaining,MAY,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1405
2022 (FYTD),FYTD,FEB,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,2
2020,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,145
2022 (FYTD),FYTD,NOV,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,3826
2021,Remaining,JUN,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,4187
2019,Remaining,SEP,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,345
2021,FYTD,NOV,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,2260
2019,Remaining,JUL,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,2797
2020,FYTD,NOV,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,1112
2020,Remaining,JUN,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,1521
2020,Remaining,MAR,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,243
2021,Remaining,JUN,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,5018
2021,Remaining,MAY,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,19
2022 (FYTD),Remaining,APR,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,1109
2022 (FYTD),FYTD,FEB,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,66
2019,Remaining,MAY,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1020
2020,Remaining,JUL,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,1
2020,Remaining,APR,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,26
2020,Remaining,SEP,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,55
2020,Remaining,JUN,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,597
2019,Remaining,MAR,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,249
2019,Remaining,SEP,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,11
2019,FYTD,OCT,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,252
2022 (FYTD),FYTD,DEC,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,1978
2019,Remaining,APR,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,1185
2019,Remaining,MAR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,2439
2022 (FYTD),Remaining,JUN,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,6
2021,FYTD,DEC,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,2
2020,Remaining,SEP,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,62
2019,FYTD,JAN,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,1735
2019,FYTD,OCT,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,0
2019,Remaining,APR,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1
2020,Remaining,JUN,Office of Field Operations,UC / Single Minors,Honduras,Title 42,Expulsions,3
2022 (FYTD),FYTD,FEB,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,2544
2019,Remaining,AUG,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,1516
2019,Remaining,MAR,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,2
2022 (FYTD),Remaining,JUN,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,3
2020,Remaining,JUL,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Expulsions,1593
2021,Remaining,APR,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,237
2020,Remaining,JUN,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,
2021,Remaining,APR,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,28
2019,FYTD,FEB,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,1895
2020,Remaining,JUN,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1138
2020,Remaining,AUG,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,
2022 (FYTD),FYTD,FEB,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,313
2020,FYTD,NOV,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,1852
2021,Remaining,MAR,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,8584
2020,FYTD,JAN,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,33
2019,Remaining,JUL,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2791
2021,Remaining,AUG,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,208
2020,FYTD,FEB,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,270
2020,Remaining,MAR,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,38
2019,FYTD,OCT,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,3
2022 (FYTD),Remaining,JUN,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,2560
2019,Remaining,SEP,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,38
2021,Remaining,JUN,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,512
2022 (FYTD),Remaining,MAY,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,128
2019,FYTD,JAN,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,1023
2021,Remaining,MAR,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,10583
